odd_bert,Instead of going to the gym i just sit around nd drink protein shakes
A_Hanks1,"Arms shaking so bad u can barely mix ur @VegaTeam post drink, means u crushed it lol! #fitness #momswholift #chalklife 💪"
DatBoyMeel,"RT @TheUnusualFact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
BrandonBrockles,So note to self.  Coffee and pre workout DO NOT GO TOGETHER WELL😷
skart1k,"RT @engrossingfacts: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
OneDoTerra,I gave up diet soda more than six months ago.  This change was made easier by using invigorating essential oils... http://fb.me/6HcGH02xd
chronicallyelle,Helping me luck the diet soda addiction FINALLY #noaspertame #nosucralose #nosugar #nochemicals http://instagram.com/p/sVD4TNsUMX/
Rimble91,"Ate too much, drank too much diet coke, burped and had to be sick. Saturday game going STRONG."
rudykulas,"I have cut way back, but still love the taste of Diet Coke...something about from the fountain at McDs http://instagram.com/p/sVhJriC10i/"
kimmmaaahhh_,I'm bouta walk to am pm all by myself just cause I want a soda 😅😅
nedylee_TDE,I drank too much last night & are two tamales once I got home... Off to the gym I gooo 😬
Deurb1,RT @Book_Krazy: Her: How's your drink?  Me: It's ok. I can't taste the alcohol though   Her:That's cause we're at the gym and its a protein...
SamuelPfendler,YEAH FOOTBALL FACIAL HAIR MUSCLES GO TO THE GYM DRINK A BEER LETTERMAN PUNCH STUFF YEAH
al_man_man,Lazy ass outa bed time!.....gotta go get the black coffee n porridge on the go and the gym kit looked out💪!! #Sat #Squats #OnIt👊
brandijeffries,"CrossFit followed by coffee with homemade almond milk, yams smothered in eggs. Perfect Saturday morning, 6 days til I can run again. #crossfit #sweatpink"
th3vitamind,I'm willing to sacrifice how much caffeine my pre workout has for a cup of coffee
oxdictionary,"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
aleexaib,"“@classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process.”"
sentlhane,"""@itzwikipedia: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."" Thanx for the tip :-)"
JuiceCleanze,Fell asleep for a quick nap. More to do with not sleeping well last night than with the juice #cleanse
Larry Hillen,Not my fault my daughter Candace wanted chili's frank plate.. ok I h texting a surf Pac. Side mac salad. Chili cheese n cracker chocolate milk shake .#BIGBOYPROBLEMS
bobbypadlock,"all ive done today is wear a sleeve less sports vest, drink beer watch allways sunny and play counter strike what have i become"
niallandlucas,RT @Calum5SOS: Dan looking a bit embarrassed after revealing his small coke to the group. @GuitarmanDan http://t.co/j2nxP5yWBM
Hardingggg,i was so thirsty and pissed last night that i drank coke that has been in my room over 2 weeks. i feel sick
hattoful,how sad its that he can't even eat icecream b'cos it has milk & fat.  change it for a bottle of wine and it would b p much accurate to y'day
JustinAcibron,"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
mimiicchebe,"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
briedecena,"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Zaynaaaa_,"RT @SunflowerLex_: Chocolate milk is my favorite thing to drink when I get home from a workout, so good."
magalisays,Sitting on the couch drinking vodka lemonade while Courtney does an ab workout  This is why I don't deserve to be fit http://t.co/QCvPK3Jmny
DopeAlex_420,"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
larasattic,My kinda drink after morning workout! 👆💪🏃⛹🍃🌞⛅  #detox #cleanse #drink #healthly #living... http://instagram.com/p/sTgH_dgzm4/
_brittgiamm,"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
_TrustNone2015,The fact that alcohol sponsors sports is so stupid. It's not good to drink while watching or playing sports.😒
lilooble,@Iliketosusan e...w inside nah chocolate milk also nah and I'm a vegetarian I can't eat marshmallows
lizziekaitlyn,Gonna start posting again 💁  Post workout lunch: my &#8220;greens and proteins&#8221; smoothie  1/2 cup water A splash of almond milk 2 ice cubes 1 large frozen banana  2 handfuls spinach  1/2 cucumber  1 scoop raw/vegan/organic/vanilla protein powder
paleOMG,Workout then a treat for working out at 8am on a Saturday! Gluten free coffee cake from @sugarbakeshop... http://instagram.com/p/sVGM4Zi9dE/
RDSimper,RT @ghweldon: Drank so much last night that this morning's workout sweat was high in tannins with notes of citrus and green apple and a cri...
colinpeden,RT @ghweldon: Drank so much last night that this morning's workout sweat was high in tannins with notes of citrus and green apple and a cri...
omid,"Fresh raw milk thx to @Lovemebutter!!! Perfect for post workout, especially when it's 85 degrees out there! http://t.co/OfRPSe8MOa"
AverageGooner14,"RT @DiscoveryFact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
lrnzgarcia_,"RT @itzwikipedia: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
CarsonGrover,"RT @itzwikipedia: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
classifiedfact,"RT @itzwikipedia: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Sammahsammah,"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
gymheroez,Cut back on sugary drinks. The average 12-ounce can of soda has more than 100 calories and 10 teaspoons of sugar.
JoshDBartley,"Don't drink your calories! Alcohol contains empty calories and have really no nutritional value. Yes, I do have... http://fb.me/3NvOCQxKq"
michaelahughes_,"@ColePeters mmmm not what I was told.... And you have fun drinking Miller lite or WHATEVER nasty beer you drink on your ""diet"""
Serenad3,If you ask me what food or beverage I would break my diet for right now I'd say a wine bottle. I really want wine.....wine....red wine
zion_worthy,@maawong did you know that diet soda has the same effect on your teeth as meth and crack cocaine?
ClaySuire,"RT @UnbeIieveabIe: According to a study conducted in 2013, alcohol mixed with diet soda get people 18% drunker than alcohol mixed with norm..."
elizasuppal,Day 7 observations: Burned 994 calories! Turn up!! But on water because beer has too many calories! Here's to a healthy me! #ElizaExercises
MoMenmTm,shower after workout + Coffee + #deephouse ooo yeah !
StealthForMen,Did you know that beer could be a great post-workout recovery drink? http://buff.ly/1nEpRqD http://t.co/ot1nRFNRX1
syafirasaufi,Chocolate milk makes the best post workout drink 💪 #FitnessTips http://instagram.com/p/sUc7_lvKVV/
Tortilla_Nazi,"RT @vegasbrawler: Goal..start with diet coke and end with diet coke. Be good. But...in between, wines, a beer & Mike's. Fucking fail. #fail..."
ricandancr,A little protein coffee and some clean sweet potato latkes!!! High carb days gonna be a good day!!!... http://instagram.com/p/sVWBePN7EW/
ladysorandom1,Low carbon high protein diet started yesterday and I could only manage to drink one shake the entire day and  couldnt eat nothing else
TIUlnicole,"After the birthday cake yesterday, and sneaking a cinnamon roll at work I seriously feel hungover today. Like I drank a bottle. Detox time."
AnnaSmolcic,"My detox meal from all the drinks I had to drink from loosing beer pong last night 😜 celery,... http://instagram.com/p/sTkYcikzfD/"
norktrash,"i decide after munchies last night that i'm going to detox today with healthier food. so naturally, i go out for texmex and then milk tea. ?"
pranjalnaik3,0wned by DodePersie #DodeOnTTI Mixing alcohol with diet coke will get you more drunk than mixing it with regular coke.
heyalterr,and i'm like here is your tea youre on a diet today bitches
ErikThompson83,Only with Diet Coke can I get through a lazy morning! @DietCoke #OnlyWithDietCoke
Brookumms95,RT @MostSecretThing: Mixing alcohol with Diet Coke will get you more drunk than mixing it with regular Coke. http://t.co/ylDga3lk37
zoe_smeets,"RT @mysteriousfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Arkadas2503,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
jenni_nedima,"RT @itzwikipedia: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
raccoonsclub,RT @IanJay: @raccoonsclub AHH time for a relaxing post-workout beverage *i unscrew a jar of Jif and shake its gloppy contents into my open ...
Anthony_Anaya_,Drank way too much beer tonight .. Tomorrow's workout is gonna suck :/
nanisamalia,"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
TheRussoKid,Turnt from coffee & pre workout
ell_wanda,"RT @TheGoogleFactz: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Jollelol,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
AlgerRyan,"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
nonchalanttj,Starting this green tea diet today 🍵
Coop_Beveridge,It doesn't look like that diet soda is working to well for ya fat ass
AbraxoCast,Chris and James are probably going to convince me to drink tonight. I don't think pineapple vodka will go well with diet dr pepper...
FeelMyUbiquity,"listen, i am still watching my diet and being a good boy i just had a few DRINKS at the local bar, felt INSPIRED to be wild, I will be good."
Amanda Hagemeier,"It's been 6 weeks today since i first opened that little pink and white pack of slim and poured it into a bottle of water. Im down 23.6lbs and countless inches ( last time i checked it was 28 overall! ). Im gaining my life back at a slow and healthy pace with the ability to now push the plate away thanks to these amazing all natural ingredients! Having Epilepsy since i became an adult has limited what i could do or try when it comes to weight loss but Plexus was 100% approved by my neurologist. I havent had a diet coke in 6 weeks and i never thought i'd be able to say goodbye to them. I drink 1/2 my body weight in ounces of water daily and i no longer crave all that horrible junk food. Im not saying i dont munch on a handful of Cheeto's on occasion but i am saying that i make more healthier choices, i opt for more protein and veggies instead of carbs. I no longer eat out of boredom, or emotional stress. I took a leap of faith and prayed that this was the answer for me. 4 years ago i had an emergency gall bladder surgery that nearly took my life. The surgeon told my mother that if i didn't lose weight, i'd be dead in 5 years. I had tried everything up until Plexus and had just about decided that i was doomed. I was addicted to food. It was worse than any drug. I was depressed and always crying because i have 2 very young children to care for and they couldn't be without their mommy. And now, i am no longer depressed because i see the difference and i see the future and i feel so much healthier than i was! So when i messaged that annoying Plexus lady and found out all i needed to know, i decided that no amount of hard work or money could stop me from giving it one last shot. It's easy and affordable even for the lowest of budgets. Why wait? Plexus works! Message me today and allow me to help you get started on your Journey to Health. Give me 60 days as your personal mentor and guide and i can help you achieve your health goals as well. You have nothing to lose with our 60 day money back guarantee! I cant wait to hear from you!  www.amandahagemeier.myplexusproducts.com"
madimichelle,RT @lizgodlewski: Accidentally chugging a diet coke that was basically all fireball was a rough way to start the day but at least it's Game...
AfricaaBambata,If I was an Offensive lineman I would do nothing but drink beer lift weights and never wear a shirt
reesefronteras,"RT @engrossingfacts: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
lizzbethxo,"RT @DiscoveryFact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Lovemebutter,"RT @omid: Fresh raw milk thx to @Lovemebutter!!! Perfect for post workout, especially when it's 85 degrees out there! http://t.co/OfRPSe8MOa"
fitgurl,Best pre workout drink to have energy and a good pump? GO
progSHELL,RT @ghweldon: Drank so much last night that this morning's workout sweat was high in tannins with notes of citrus and green apple and a cri...
mrrblind,RT @ghweldon: Drank so much last night that this morning's workout sweat was high in tannins with notes of citrus and green apple and a cri...
tinie25,"RT @DiscoveryFact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
b_nanah_dazzle,"""@secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."""
panchbhayaSeemi,"RT @itzwikipedia: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Smgalindez23,"RT @engrossingfacts: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
AtlantaFantaa,"RT @TheGoogleFactz: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
frncsnclmnrq,"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
AZaireBuri,RT @WTFLifeFacts: Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.
YvonneDzifa,"Week 1| Day 1 pre workout - banana, spinach, blueberries, PHD Whey, water and Unsweetened Almond Milk... http://instagram.com/p/sUfWwzOoON/"
_mayraa13,"RT @TheGoogleFactz: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Jax_London,Think I'm getting addicted to my @MusclePharm pre workout. Not training for another 90 mins but want to drink it now. 😛😁
craZieeE_pinK,"“@itzwikipedia: If you want to burn fat faster, a cup of coffee before a workout will speed up the process.” Hate workouts :/"
HollySReid,"RT @nottoochuby: It may be calorie-free, but diet soda is linked to diabetes and metabolic problems."
conner_lorenz,Coffee has been my pre work out recently
fitmissglo,I really want to see what the #KillCliff recovery drinks do for me post workouts.. #fitfam
fitmissglo,"I really want to see what the #KillCliff recovery drinks do for me, any views on flavors/product? #fitfam"
cbryder1983,Post yoga tea and crumpets #lifeisgood #iwishiwerebritish #yesinmychristmasmug http://instagram.com/p/sVOb9aoBJr/
mathyou09,"Picked up the Yoga, put down the Soda @DizzyWright #StateOfMind"
cshumway1,Since AC is broke don't need to go to gym. Just need to sit still and sweat at home. Maybe drink beer too
mylifeasmolly,"RT @TheEighty8: Wear sweatpants, skip the gym, don't drink green juice: why you should screw perfection   http://wp.me/p4tXsE-jy"
thegypsyhype,"It&#8217;s all about the greens (and no I’m not talking about money. Not this time at least.) Now that classes are back in session, it means back to healthy eating and portion control. Over the summer, I realized how poorly I ate which is all thanks to my group of friends with metabolisms faster than mine. From pizza to ice cream, I basically committed every food sin out there that the only green thing on my plate was salsa verde with a side of red rice. Consequently, my body started feeling weird as a response and I was no longer losing weight despite my daily gym visits. Don&#8217;t get me wrong, I love junk food as much as the next college student, but I love delicious food that&#8217;s good for me, too. I&#8217;m especially a big juice head (and by that, I&#8217;m not referring to steroids). For me, apples and kale are always a safe bet. Kale has always been one of those vegetables I ate almost everyday before the summer and completely forgot about during the summer. Hopefully, I&#8217;ll be back to healthy old me in no time.  Thanks for the memories, Pizza Hut, but we both knew it would just be a memorable summer fling."
2CountryHoppers,"Eat, Drink, Bike: Exploring Sonoma wine country http://goo.gl/Qynr6Q via @SandInSuitcase"
SparkleDaze,"Today is Tour De Fat! Dress up, bike around, and drink some beer with me if you aren't doing anything."
AsWeSawIt,"Eat, Drink, Bike: Exploring Sonoma wine country http://goo.gl/Qynr6Q via @SandInSuitcase"
noroidsfitness,"Top 13 Best Quality Protein Supplements  Although it is better to get your source of Protein through foods such as eggs, meat, fish, milk, yogurt, beans, and etc. Some of us are just to busy to cook or don’t have time to make a meal. Instead it is easier for us just to be able to drink a Protein shake on the go. Well, never fear No Roids Fitness is here. Here is a list of the Top 13 Quality Protein Supplements on the market.   #1...View On WordPress"
megawatting,Strawberry & banana smoothie with almond milk and yummy topings 😍 #fit #iifym #ifitfityourmacros #healthy #personal #food #foodporn #protein #carbs #fat #eatforabutt #eattogrow #fitfam #fitgirl #fitness #fitnessfood #anarecovery #recovery #nutrition #breakfast #healthybreakfast #banana #strawberry #almond #almondmilk #smoothie #healthysmoothie #
SophieR,"Eat, Drink, Bike: Exploring Sonoma wine country http://goo.gl/Qynr6Q via @SandInSuitcase"
TheBushard,Just completed a 15.02 mi bike - I did this so I can drink more beer today! Lol http://rnkpr.com/a70mz6o #RunKeeper
Love2Tap,I just want to be able to eat and drink copious amounts of alcohol without getting fat. Is that asking too much?
JIMBOSWELT,"RT @the_anastasia: If you're afraid of getting fat, drink a little before eating. The alcohol should reduce the fear."
livinhealtylife,Trying to lose weight? Don't drink alcohol !!!!!!
EstarliJazmin,"RT @mappingmegan: Eat, Drink, Bike: Exploring Sonoma wine country http://goo.gl/Qynr6Q via @SandInSuitcase"
rina_soe,"RT @itzwikipedia: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
secretsfact,"RT @itzwikipedia: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
PiaWismar,http://ow.ly/i/6IPsy Recovery This vitamin water is ideal for recovery post-workout or after a large bout of physical activity....
__anna11__,RT @MindBI0wingFact: Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.
allysauuurrr,And I gotta workout I drank too much beer last night I feel heavy as fuck 😔
Uranowski,RT @ghweldon: Drank so much last night that this morning's workout sweat was high in tannins with notes of citrus and green apple and a cri...
KCSI_RW,"RT @GovtsTheProblem: In response to #ISIS taking over the Middle East, the @WhiteHouse has decided to ban chocolate milk in American school..."
ChrisCoon4,"RT @GovtsTheProblem: In response to #ISIS taking over the Middle East, the @WhiteHouse has decided to ban chocolate milk in American school..."
Ya_Boi_Travis,"RT @kelsz_94: Top 5 things you find at wood street: protein powder, franks red hot, coffee, alcohol and busy bones."
karitanchits,"RT @AcneSkinSite: After you wash your face, mix 1 tablespoon apple cider vinegar with 2 cups water as a finishing rinse to cleanse and tigh..."
lizgodlewski,Accidentally chugging a diet coke that was basically all fireball was a rough way to start the day but at least it's Gameday
_StephanieGZB91,RT @HiddenTips: Mixing alcohol with diet coke will get you more drunk than mixing it with regular coke.
__judiithhhhh,"RT @TheeKlOUdKIckER: @__judiithhhhh we gotta change that. Lol I tried beer once, rather drink diet sprite lmao. We never have the same off ..."
RhiannaF_95,Well if this diet and drink ban is starting on Monday then I'm making the most of it over the next two days 👍
CupcakeLust17,I hate the taste of diet soda 👎👎👎🙅🙅
OfRedAndBlue,Wow I forgot how much diet soda sucks
hiddxnmoon,and now Im gonna finish a glass of water and then Im gonna do the ariana legs workout and Shower and Brekkie 😭😲
lisagregory875,"RT @The_CWW: 👍If you want to burn fat faster, a cup of coffee before a workout will speed up the process.👍"
red_widget,"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
FeekyChuckers,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
vijay_chirag,"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Kcrook1,Every city needs a place where it's acceptable to drink wine and do yoga at the same time #fairydust @CHoversten
marymullins13,"The face you make when you drink pre pre, find out the gym is closed and end up on the track running 1/2 miles and them find time to #selfie"
ever-a-surprise,I made a friend today and she is cute and I am happy and then I went to the supermarket and there was half price steak but I forgot to get milk and I didn&#8217;t go to the gym because I was talking to my new friend for five hours. 
susanv2108,Would you still drink that soda if you knew you had to run two miles in order to burn the calories you just consumed? http://ltl.is/8EQ6e
Tiffanieelrod,Would you still drink that soda if you knew you had to run two miles in order to burn the calories you just consumed? http://ltl.is/1F4Tr
_CherryBlue_,"RT @TheGoogleFactz: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
4206prince,"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
minnieoliver09,"RT @TheGoogleFactz: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
_shwenqii,"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
heathernewkirk,"@kevinhslack @_NickAnaya_ @walkertkl Come be my effing friends, you jerks. We can eat pizza and drink beer and watch sports or something."
ReframeLife,"Me and Josh sitting in the garden with the Chiminea lit. A beer for me, milk for ma boy watching Sky Sports on the iPad - ahhhhh!"
case1009,"""Guys I'm not gonna drink hard alcohol tonight I'm doing a cleanse all gluten free!!"" #PROOF @katchmysnatch http://t.co/VKJib5a9M1"
girlvsglobe,"Eat, Drink, Bike: Exploring Sonoma wine country http://goo.gl/Qynr6Q via @SandInSuitcase"
DanikExplorer,"RT @SophieR: Eat, Drink, Bike: Exploring Sonoma wine country http://goo.gl/Qynr6Q via @SandInSuitcase"
PennySadler,"Eat, Drink, Bike: Exploring Sonoma wine country http://goo.gl/Qynr6Q via @SandInSuitcase"
Holly_Haffa,RT @MostSecretThing: Mixing alcohol with Diet Coke will get you more drunk than mixing it with regular Coke. http://t.co/ylDga3lk37
_GeorgeFaulkner,layin off sweetners for a couple weeks too many coffees and diet drinks
OhBabySNCO,"Pass on Pop. Go soda free on Sundays. Saves calories, money and teeth. Take the pledge at http://kac.org/passonpop/"
AdamsCack,"""Unhealthy alcohol use is knocking back more than fourteen drinks per week."""
Mike_Calubayan,RT @FORTEyroldvirgn: Trying to drink an unhealthy amount of alcohol ASAP
_euphoricbliss,"RT @olober_syks: Alcohol is so pointless like empty calories, feeling horrible the day after and embarrassing yourself when you drink too m..."
jonathinner,"Hi there,My name is Jonathan and I&#8217;m fat. Me being fat is no new thing. I&#8217;ve been a fat person ever since I can remember. Okay, I was a skinny kid for like 4 years but I was still really large overall.  I&#8217;m going to try something here and I hope that it works.  See&#8230;A few months ago I saw a video on Youtube about a lady who lost weight by working out for 100 days in a row. I was very inspired by this woman and therefore I began my original 100 day journey. I ate healthier options, I worked out in some fashion every night, and I saw results pretty quickly. Then I hit a bought of depression and kind of just gave up.  Months later, I&#8217;m back at it. Tonight was the first attempt I guess&#8230;I went to the gym and tried to do a workout video. Keep in mind this video&#8217;s series are in levels and when I was doing my original 100 days I was doing the hardest one. This one was the intermediate one and I stopped pretty much right away. I was so winded and already in pain after four squats. It was miserable and embarrassing (even though I was the only person in the room) I&#8217;m going to give it another try tomorrow night.I&#8217;ll do my best to document what food I eat and what drinks I drink.I&#8217;m going to start cutting down on all gluttonous behavior and really focus on my body.  Ultimately, I want to be comfortable with myself. I want to really like my body. I want to feel healthy. I want to experience activity. I don&#8217;t want to have to beat someone to the fat joke. I want to feel comfortable dating. I want to give it 100. I know that tomorrow never comes, but it&#8217;s 11:30 and I have a very busy day at work ahead of me tomorrow. This first post is awfully messy, but I hope that I can look back at this have some goals accomplished.  - Jonathan"
MoxieMixie,Drink wine to make cleaning more fun. End up an emotional mess on a pile of laundry. I need to go to the gym.
themomjen,"Eat, Drink, Bike: Exploring Sonoma wine country http://goo.gl/Qynr6Q via @SandInSuitcase"
Jenn_nicholee,"""I do yoga to relieve stress. Just kidding!😂 I just drink wine in yoga pants."" 💕🍷"
YaYaVegonica,"""@Fact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."""
tonyuk41," Make Tasty And Healthy Falafel Dishes   Falafel is a ball or patty made from ground chickpeas and/or fava beans. Fava beans are Egypt variety and use there. And the use of chickpeas is mainly in other Middle Eastern countries. So basically Falafel is an Arabic food. Chickpeas used to prepare falafel mainly in Palestinians and Yemenite Jews in Jerusalem. Actually falafel is a deep-fried ball made from flavoured chickpeas and or/fava beans, and served in a pitta bread which is known ad lafa, covered with vegetables, salads and sauces. After this you need the following items: one onion, one cup of dried chickpeas, three tablespoons of fresh parsley (chopped), three cloves of garlic(chopped), one teaspoon of cumin, one teaspoon of coriander, two tablespoons of flour, salt, olive oil and pepper Keep the chickpeas in cool water overnight. Drain them, clean them with fresh water, put them in fresh water convey to the boil for five minutes and then cook for a further hour on slow heat. Allow to cooling and then combine with garlic, parsley, onion, cumin, coriander, flour; and salt and pepper to flavour in a bowl. Complete mash by hand or combine in a food mixer processor, you should obtain a broad, reliable paste. Form this mixture into little round ball about the shape of a ping pong or squash ball and softly crush them. Fry them about five to six minute in very hot oil until there color turn into golden brown. Tasty and healthy falafel fill the ball into fresh pita bread with tomatoes, lettuce, tahini, salt and pepper. Tahini is a paste of sesame seed. Take five cups of sesame seed and 1.5 cup of olive oil. Preheat them about 350 degrees Celsius, place the sesame seeds inside for 5-10 minutes, remember that the combination should not be brown and sake them frequently with a fish slice. Cool them, then keep in a food processor with the blend and olive oil. You will get broad, gloopy but pourable texture. You can add additional olive oil as per your requirements. Falafel is made with chickpeas, so it has high in protein, very good amount of carbohydrates, and fiber. Chickpeas are less in fat and no cholesterol. Key nutrients are iron, zinc, copper, manganese, magnesium, phosphorus, potassium, calcium, Vitamin C, pantothenic acid, Vitamin B, thiamine and folate. Such falafel is liked by most human being. Falafel is energetic enough to replace meatballs and hamburger patties in vegetarian dishes. Falafel can be parched to decrease the fat content related with frying, but doing so will alter the flavor and texture.   Pitajoe.com is offering Falafel NYC, Hummus NYC, Pita NYC, Mediterranean food delivery NYC and Mediterranean Food Catering NYC."
RosenthalWines,"What a great day for Wine and Yoga at #RosenthalWines...now, it's time to drink! Thank you for... http://instagram.com/p/sVZOHurvLO/"
mathyou09,"Picked up the yoga, put down the Soda #StateOfMind"
kaayehambre,Snack drink after yoga class. #wellness #mooshi #healthysmoothie https://www.swarmapp.com/kaayehambre/checkin/5401c89e498ee6eb79edc2f6?s=QKA0SfszoeujEFSBZMnJAZ_XsBs&ref=tw http://t.co/NSYSZghrNC
Amanda Hagemeier,"It's been 6 weeks today since i first opened that little pink and white pack of slim and poured it into a bottle of water. Im down 23.6lbs and countless inches ( last time i checked it was 28 overall! ). Im gaining my life back at a slow and healthy pace with the ability to now push the plate away thanks to these amazing all natural ingredients! Having Epilepsy since i became an adult has limited what i could do or try when it comes to weight loss but Plexus was 100% approved by my neurologist. I havent had a diet coke in 6 weeks and i never thought i'd be able to say goodbye to them. I drink 1/2 my body weight in ounces of water daily and i no longer crave all that horrible junk food. Im not saying i dont munch on a handful of Cheeto's on occasion but i am saying that i make more healthier choices, i opt for more protein and veggies instead of carbs. I no longer eat out of boredom, or emotional stress. I took a leap of faith and prayed that this was the answer for me. 4 years ago i had an emergency gall bladder surgery that nearly took my life. The surgeon told my mother that if i didn't lose weight, i'd be dead in 5 years. I had tried everything up until Plexus and had just about decided that i was doomed. I was addicted to food. It was worse than any drug. I was depressed and always crying because i have 2 very young children to care for and they couldn't be without their mommy. And now, i am no longer depressed because i see the difference and i see the future and i feel so much healthier than i was! So when i messaged that annoying Plexus lady and found out all i needed to know, i decided that no amount of hard work or money could stop me from giving it one last shot. It's easy and affordable even for the lowest of budgets. Why wait? Plexus works! Message me today and allow me to help you get started on your Journey to Health. Give me 60 days as your personal mentor and guide and i can help you achieve your health goals as well. You have nothing to lose with our 60 day money back guarantee! I cant wait to hear from you!  www.amandahagemeier.myplexusproducts.com"
brmhs2018,"Happy Birfday to Madison Spinner! Day 15 of School This morning I woke up at 4:33. My throat was killing me. Everytime I swallowed, it hurt too much. So I slept for another hour, but I was so freaking tired. When I woke up, my throat still hurt.  Today, I wore a tee + jeans. I packed gym clothing and grabbed my jacket, and I was basically ready. So we get to school, right? And just before the bell rings, I realize, I don’t have my jacket. Stupid me forgot my stupid jacket even though it was stupidly sitting there next to me ... Theater. We studied for a few minutes before taking the test. I took it. After, we talked about the guidelines for our storytelling project. Great. English. Read AR. Did vocabulary stuff. Done. Gymnastics. I honestly think today was the most productive day. And fun. Nadia and I are getting along really well. We’re like, gymnastics buddies. Lunch. I ate veggie ships and drank water. My throat is still hurting. Lucia says a sickness is going around. Nasty ass people. Spanish. I hate this class. All we do is work and more work. But Mr. Allison was so funny today. He was doing all of these actions and people were laughing at him but I was laughing at Ingrid (?). She’s funny to watch. Biology. We did a lab today. Jalen joined our group too. She’s the one I went up to in gymnastics. That’s it. Really."
