- Nomore soda and Nomore Junk food .
"Tip#5: Alcohol intake translates to empty calories, think about what you drink when you want to lose weight #nutrition"
"RT @InertiaFitness: Tip#8: Alcohol intake translates to empty calories, think about what you drink when you lose weight #nutrition"
"Cheesy smile, but size 10 again! Thank Gawd for Slimming World. A diet that allows me to drink wine and be a pig. http://t.co/9eskjFUSOC"
Gonna try drink some chocolate milk after my workout this time
"Friday nights are so rock and roll for me,  spin class and a protien shake for tea!!  Doesn't get anymore... http://t.co/N19qComaZ9"
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Actually. A tuna & water diet doesn't sound too bad. Hmm. It starts tomorrow
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Man I really want to drink a beer but I need to go to the gym. I hate making decisions
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
srsly sticking to my detox water after today smh ive been eating junk all week
@jheeVonC: srsly sticking to my detox water after today smh ive been eating junk all week !!!
friday night turnup: bake cookies drink a bottle of wine watch a scary movie  eat all the cookies  feel fat  pass out
"Just up after a gruelling 12hr nightshift! Coffee done, shake done now it's time to hit that gym,hard! #fitfam #fitnessmotivation #Pumped"
@OpTicDi3seL coffee first. Then gym. Then chipotle. Then wake Fwizs lazy butt up for OMoO
Who says you can drink wine AND do pilates? :) #wineoclock #HealthyLife http://t.co/yUEuGzgVBS
Water v soda #fitness #health #rt http://instagram.com/p/sVhW9Thx28/
"Cardio day with sleepy eyes and lazy ass, i need my mood booster even a good coffee didnt help! Gosh!"
Would you still drink that soda if you knew you had to run two miles in order to burn the calories you just consumed? http://ltl.is/RzXGk
"@OJayPT today's pre 50 mile bike ride menu is a GF Hmade Flapjack, d espresso and a pint of water. I'll be ready for my steak dinner!"
"Instead of being lazy & watching Netflix, I went in the pool and pelted my brother with water balloons "
RT @ghweldon: Drank so much last night that this morning's workout sweat was high in tannins with notes of citrus and green apple and a cri...
I was eating dinner by myself and then I read my coke. Soda has no chill http://t.co/VLFXvWWI0N
I was eating dinner by myself and then I read my coke. Soda has no chill http://t.co/VLFXvWWI0N
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Beer - The 15 Healthiest Alcoholic Drinks | Fitness Frenzie - http://www.fitnessfrenzie.com/gallery/7011/the-15-healthiest-alcoholic-drinks @cab214 is prob pretty excited about this fact
#workout #fitness at http://ift.tt/1mmFx5o -- 1 cup unsweetened almond milk 1 scoop vanilla Whey Protein 3 Tbs... http://t.co/gVgwuRcJQl
"9am Saturday Summer Shake Delight Samples at Dartmouth Total Fitness! This weeks featured shake is Banana Split: Milk, Vanilla Protein, Chocolate Protein, Banana and Strawberries."
The easiest way to reduce calories. replace soft drinks with water in your diet. #fitness #weightloss Fit2balive http://www.fit2balive.com/1/post/2014/08/water-perhaps-the-easiest-change-to-make.html
I can drink a 2 liter bottle of coke zero all by myself in one day. #cokezero
Home alone drinking a bottle of cream soda and vodka by myself
"Oh dear, what started as a coffee, ended in Guinness, beer, wine and curry session! Got an 11 mile run to tackle tomorrow!! #loveachallenge"
"Juice cleanse starts today after a rather vile 6 days off the wagon, and gym!"
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"Redu fa-fa out loud. If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"""@LifeCheates: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."""
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"Being my own motivation to get back to this! Healthier diet, more water, more exercise   #fitfriday #fitness http://t.co/SrtLQtnbPd"
Can we drink beer and workout at the same time? @amara_blake  #itsfriday #TheStruggleIsReal
"Should start that yoghurt, water and pineapples diet again."
"@starkweatherTD If they hire a voice actor and Isabelle doesn't sound embarrassed for making a fuss, I'll owe you a Coke as well. lol"
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"@katrinatrix: @4realzdome: Tea   Workout   Shake   Beauty rest  but ur ugly dats why I sleep,tryna get purty for des niggaz "
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
So I felt I needed to celebrate my #SBSwin and as I dont drink alcohol and I am on a diet I bought a new dress today for a wedding! #sbs
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
End of week 1 in 2014/15 weight loss drive
RT @SamuelPfendler: YEAH FOOTBALL FACIAL HAIR MUSCLES GO TO THE GYM DRINK A BEER LETTERMAN PUNCH STUFF YEAH
Heidi and i were supposed to start going to the gym on wednesday but instead we drank a bottle of champagne and stayed up till 5 hahaha
When you drink your pre workout and you can't get to the gym <<<<<
Work done.. Gym down.. Drink with family and friends in motion #chilled Saturday
"If doing crossfit means that I get to drink pumpkin beer after, then I will do crossfit. I guess."
How to quit drinking soda   http://www.the-joy-of-healthy-living.com/quit-drinking-soda/   #soda #health #healthyeating #calories #plexusslim #review #help #dietsoda #addicted
U can find me in my room eating a party size bag of chips and drinkin soda straight out da bottle
Nothing better than a nice glass of chocolate milk after a long run 
29) You know it&#8217;s your first IP admission when you think the girls are hiding diet coke for a treat before weight day.
8 Steps to Quit Consuming Soda #Fitness #EasyTipsForMen #EasyTips #Health  http://bit.ly/1jqxRx0 http://t.co/2yDNob215Q
Finally home! Do I A go to bed or B drink alcohol knowing I'm going to run 10k 1st thing in the morning?
@RunRocknRoll @GotChocoMilk Had almonds and chocolate milk after a 8 mile trail run this morning! :)
RT @life_cheates: Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.
@Fergus_Connor smh pretty sure she's got pre workout in her coffee as well #cleaningalldaylong
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
RT @ankeetachawla: #postworkout #dinner in #SanFrancisco - @Chobani and @BlueDiamond unsweetened almond milk   #fitfam #gym #OnHoliday http...
Pre Gym Coffee... http://instagram.com/p/sUBRnEiHsq/
Went to the gym but forgot water and headphones so that's a good excuse not to work out. #leaving
@amightyheart: it's only 64 cal though. It's the only beer I can drink after going to the gym.
"RT @KatieFerguson89: So my Friday night consisted of gym, Waitrose and a @rebel_kitchen chocolate milk treat...party animal right here"
"I want a 20 chicken nugget share box,a mayo chicken,a Big Mac,a cheese burger,a smarties mcflurry,a smoothie and a diet coke Has to be diet,don't wanna get fat xxx"
RT @myfootballfacts: @CarterCollectab Irish Coffee contains the four most important food groups: Alcohol Sugar Caffeine Fat
@CarterCollectab Irish Coffee contains the four most important food groups: Alcohol Sugar Caffeine Fat
"This has to be part of why America is fat: the only size soda at Boston Market is 32 ounces!! If that isn't gluttony, I don't know what is."
"@TheUnusualFact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process. #BurnFat #GFITcertified"
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"Hmmmm... RT""@TheUnusualFact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."""
Gotta get this workout in so i can drink some wine already
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"Instead of alcohol concoctions, we are making diet drink concoctions"
My mom complains that she'll get in shape every summer and then complains that she drank beer all summer and ate everything fattening.
"Since chocolate milk is good for you to drink after working out, I just work out so I have another excuse to drink chocolate milk"
RT @stupideasypaleo: hungry immediately after you train or are you finding it difficult to eat post work out? not if i have mct in my tea!
"RT @kelsz_94: Top 5 things you find at wood street: protein powder, franks red hot, coffee, alcohol and busy bones."
"If I drink wine while wearing workout clothes, can I count it as exercise?"
Cold brew coffee & kolaches from @RevivalMarket were totally worth negating my long workout this morning!
So this morning I put on workout clothes & now I'm sitting in the sun drinking coffee with icecream in it. #dedicated
"RT @engrossingfacts: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
RT @Love2Tap: I just want to be able to eat and drink copious amounts of alcohol without getting fat. Is that asking too much?
Trying to lose weight? Don't drink alcohol !!!!!!
"I've cut out fast food, and soda and I've been eating healthier going to the gym and working out everyday and I've noticed a change "
Today I'm swapping high heels and wine for running trainers and water. Saturday gym sesh!! 29 days!! 
If you're gonna drink at least use the gym. Hash tag beer makes you fat.
Half of the battle between myself and the gym is getting me to drink the pre workout.
Will drink lots of alcohol tonight.. Then burn it at the gym tomorrow.
Seriously...its like a resort...going to bring beer to the gym and drink by the pool when I finally hit my deadline. http://t.co/fgFRIs6SAu
RT @TheUnusualFact: Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.
"RT @DiscoveryFact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Chocolate milk after a workout>>>
0wned by DodePersie #DodeOnTTI Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.
"Post workout eats! Meatload in a avocado,  washed down with coffee with butter. #Paleo #T25 http://instagram.com/p/sVJsUTMobo/"
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.
We ran #SeaWheeze @armadillo_21 attempted #yoga we drank beer & checked out Capital cities at the sunset festival http://t.co/SM7zlAxwRI
"Friends, what sort of post work out recovery drinks do you guys use? I've been doing milk, but considering #BioSteel #FitLife"
"@TheUnusualFact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process. #BurnFat #GFITcertified"
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
A woman needs a man like a fish needs a bike. If that was true then how is the fish ever going to get back to the water with out it's bike?
"@TheUnusualFact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
@Dogpaddling It's so warm out this morning! Heading to the gym to work off some of the food and drink from last night:)
RT @misstoriblack: #birthdaysuit while I drink my shake and get ready for the gym. http://t.co/0aDq0gGtO0
At the gym sweating out all the alcohol I didn't drink last night 
Do you go to the gym everyday or have kids that are in  something. Sprying is a great recovery drink. Check out http://www.xyngular.com/ariches
Drink water regularly while working out due to attractive legs and efficent cardio @GymRatTips@FitnessIife@FitDaiIy http://t.co/jyBKD7F7mr
Would you still drink that soda if you knew you had to run two miles in order to burn the calories you just consumed? http://ltl.is/Q8yrZ
"Eat, Drink, Bike: Exploring Sonoma wine country http://goo.gl/Qynr6Q via @SandInSuitcase"
@lgomezz13 come work out with me next week!!! I did the pre work out today and then I did a shake and a tea SO GOOD
@jellyfishtickle yes! And as soon as your diet is done we need a wine date. Or whatever you drink! Basically a girls drinking date 
"I will never be a girl who drink any of those ""skinny girl"" cocktails. Give me beer or give me death. "
"No food, no sleep, lots of wine and tissues and Adele and Drake RT @vintagescrm: What does the heartbreak diet actually consists of? Water?"
"I will never be a girl who drink any of those ""skinny girl"" cocktails. Give me beer or give me death. "
The amount of wine me and @nicolesmithh_ drink is unhealthy..
drink skim chocolate almond milk after workout to fuel muscle recovery
"I like to drink white wine with crushed ice and diet Sprite. I call it ""Funky Juice""! #30rock"
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"Debating about going to the gym this morning. I should go, I was going to add a but that means I need to go to the gym. After coffee, gym."
"Got in a 60 minute cardio workout this morning... Time to make amazing food, drink beer and watch football all day"
Would you still drink that soda if you knew you had to run two miles in order to burn the calories you just consumed? http://ltl.is/FpPV2
@TheRealStarky I almost drank chocolate milk after my hard elliptical sess this morning. I had a root beer float instead.
Mixing alcohol with diet coke will get you more drunk than mixing it with Regular coke http://t.co/DSp0Ws66aK
0wned by DodePersie #DodeOnTTI Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.
Post workout recovery drink http://instagram.com/p/sU9oJLLXJe/
"RT @engrossingfacts: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @Factsionary: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @MrsRockOfferman: @mysteriousfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process. Did not..."
A little pre workout green tea at Panera alone! Sometimes it is nice to have a little peace and quiet.... http://instagram.com/p/sUj_-eAXAv/
"RT @TheGoogleFactz: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
RT @gymbunnytweets: Sneaky post workout buckwheat crepe with chicken and Parmesan with a Green Machine juice @honeysucklefood #eatclean htt...
Someone sneak me in some food... This whole liquid diet thing is not my cop of tea
"cream from the herd &milk from the flock,w the fat of lambs, rams from Bashan,goats, w/ the choicest grains of wheat;u drank wine from ...."
How do so many girls in my school drink so much alcohol every weekend and not get fat
"Teenagers who smoke, drink alcohol and eat junk food are 4 to 6 times less happier than those who never smoked and drank alcohol!"
"Eating clean and healthy is great and all, but sometimes, I really just want a diet coke! #healthylivingproblems"
Mixing my whisky with soda adds calories... Ice only please
@nightiscoming i like beer but it has too many calories so i dont like to drink it
"Alcohol is so pointless like empty calories, feeling horrible the day after and embarrassing yourself when you drink too much, nah thanks"
RT @angrygradsays: My diet for 1-2 weeks. For science. I'm not giving up coffee or beer because fuck that! http://t.co/FDLrSYUON5
My diet for 1-2 weeks. For science. I'm not giving up coffee or beer because fuck that! http://t.co/FDLrSYUON5
Bought a new diet drink. I'll start tomorrow.
Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.
All alone in my room listening to music eating hot funyuns & drinking cream soda is making me feel so at home.
Pretty sure McDonald's was trying to tell me I'm fat by giving me a diet coke instead of a normal one #notok
Im forgetting everything today forgot my water bottle for the gym http://t.co/9soZtXr0JC
RT @ghweldon: Drank so much last night that this morning's workout sweat was high in tannins with notes of citrus and green apple and a cri...
"RT @DiscoveryFact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @DiscoveryFact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @DiscoveryFact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"Light and tasty, I should have drank it after my workout.  Drinking a Harpoon Summer Beer  http://untpd.it/s/c110895690"
Cause I'm getting to the point where I rather go workout w/ my friends than go partying & drink. .tf
"RT @Factsionary: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"Pre workout meal consists of coffee, quest bar and a grilled cheese -.- ... Iifym life"
"Ok so I drank last night for the first time since starting my journey and today I'm in full-on detox mode, get this girl some more water! "
I drink beer because it has protein I mean why the fuck else lol
I should go out and drink until I can't feel feelings. But no one can go out.  So..go to the gym than?I'll end up eating ice cream & crying
RT @life_cheates: Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.
Never drinking coffee as a pre workout again
0wned by DodePersie #DodeOnTTI Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.
"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"Chocolate milk is my favorite thing to drink when I get home from a workout, so good."
"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @TheGoogleFactz: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @mysteriousfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @TheGoogleFactz: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @itzwikipedia: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @The_CWW: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"Finished with clients, had my pre workout feed, time for a very large coffee to fuel me up for a back & biceps session "
Good morning!!! Luwak coffee as a pre workout. .  . Bom dia! Vamos de caf luwak... http://instagram.com/p/sUsdZZFkKq/
"RT @Factsionary: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @healtyfoodmania: Before your event or workout, fill an empty water bottle with protein powder. After your event, add water & shake vigo..."
RT @BestLifeCheates: Drinking chocolate milk has been proven to help relieve muscle soreness after a workout. http://t.co/Q4ZqEroGZz
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Paleo Friendly Kombucha BEER and Tea from @ukomb http://t.co/E2WJXpbG0Y #paleo #certifiedpaleo #kombucha #beer
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"@TheUnusualFact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process. @nik9_ there you go!"
"Pre bed shake. 10oz Unsweetened original almond milk, 3 tbsp peanut butter, 1/8 tsp chocolate powder, night #fitfam http://t.co/symEKHUno5"
 sleep
"My favorite things about the weekend: hot tea, good books, and being lazy with a fuzzy cat."
Memories of Back to School
"#toptip @OatlyUK choc milk, peanut butter & blended pear pre gym energy boost. Yum! http://t.co/uRdy5jiCir"
Camellia juice plus and banana breakfast shake #healthy #gym @sioncrees http://t.co/b499FWIipx
Drink a beer for everyone in a sports jersey. I'm wasted
"Eat, Drink, Bike: Exploring Sonoma wine country http://goo.gl/Qynr6Q via @SandInSuitcase"
"@MerciMiQuel on that no water, straight alcohol diet "
"@mcILLCROP Wine is more concentrated in calories and alcohol content, but it depends on how much you drink of each http://www.livestrong.com/article/138115-beer-vs-wine-calorie-count/"
#WEIGHTLOSS TIP 3 - DO NOT DRINK YOUR CALORIES!  Sodas - alcohol etc add up!!  SIGN UP NOW at http://www.commit2self.net PLZ FAV & RT #HEALTH
Going out for a drink tonight? Remember a glass of wine gives you similar number of Calories to a slice of pizza! #TrustADietitian #health
"My new fave morning post-run recovery drink:  1/2 milk, 1/2 coffee, 1 scoop of chocolate protein powder. I call it a ""Mocha-Runs-a-Latte."""
A part of me wants to to go workout but the other part of me wants to go eat cookies & drink coffee do u see my problem
"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"Pre workout and a coffee, if I don't have a heart attack today then I never will."
"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"off soda, at the gym, eating lots of protein, reading Stanislavsky...Feel like I'm working to shake the addiction of unhealthy living.#actor"
RT @JaredCasedy: @crockdog if u get people to look like u that's not magic that's miracles. Like gym god but instead of water 2 wine u turn...
who decided the gym should open at 5 today?! I just drank half of my pre workout 
i know i should go do some fasted cardio. but im busy watching four weddings and drinking coffee.
Would you still drink that soda if you knew you had to run two miles in order to burn the calories you just consumed? http://ltl.is/hMfBk
Coffee and bicycling? I've read a cup of coffee before a workout can be beneficial. #bikeart http://www.etsy.com/listing/187324731/morning-bike-ride-poster http://t.co/2jSDhIBBs0
"Saturday consists of whiskey and coke, beer and Shore's football draft  @ Glory Days Sports Grill http://instagram.com/p/sVhGjlI6MQ/"
Glad this week is over and I get a solid 3 days to act a fool! (Watch sports and drink beer on my couch)
"@deestiv Gotta find someone to pay me to watch sports, drink beer and eat."
"need a wife who will cook, clean, do laundry, cook, drink beer and watch Cleveland sports. setting the bar high"
"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
RT @_InternetFacts_: Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.
"RT @TheGoogleFactz: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"""@shoesbyFIS: Should I drink a beer or nah""thought u were on a detox"
drinking a beer and detox tea at the same time probably defeats the purpose
I'm going to need to juice for two weeks to detox after the last two weeks of chips/pizza/fish and chips/sausages/chips/pies/chips/chips
"@iridescentboi ... now if i even take a sip of a soda (coke, sprite, etc) i get sick, its awful for you. terrible. especially diet soda ew"
Diet Soda is anything but healthy. #neurotoxins http://fb.me/7070tLXdc
@sissa_thug @RT_KingLouie I don't drink beer anymore!! I'm on the tequila and vodka diet
if a new scientific study came out that drinking beer warm made it calorie/carb/fat free would u drink it warm??? #replytweet
"RT @lifesfactz: Teenagers who smoke, drink alcohol and eat junk food are 4 to 6 times less happier than those who never smoked and drank al..."
"@__judiithhhhh we gotta change that. Lol I tried beer once, rather drink diet sprite lmao. We never have the same off days. "
Last weekend to eat/drink everything fattening 
"Top 5 things you find at wood street: protein powder, franks red hot, coffee, alcohol and busy bones."
"I'm laid in bed listening to ""Pretty Hurts"" almost crying cos Katie cannot eat or drink alcohol cos of her liquid diet. That's all we do!"
"Do you want to kick your soda habit?  Plexus can help. I have seen people completely quit Coke, Dr. Pepper, Diet Coke, you name it. I..."
@el_ogd that's beer - no drinking and lots more water. No diet necessary x
stink faced bimbos always drinkin soda -- i'm on a fruit diet so the pussy got no odor
"i like my coffee: in accordance with my new diet, i only had one beer yesterday and it turns out to be ""Damn, It's Ned!!!!"" @ItsrealNED"
the last 2 months of last semester i think i ended up drinking more calories in soda than i did eating food
Party tip: Lighten up a glass of wine by making it a spritzer...half the calories & a delicious fizzy taste! Wine + club soda
At http://ift.tt/1mmFx5o -- #fitness #workout #gymrat My treat  Nomu Skinny Hot Chocolate with a dash of almond milk topped with mini...
I think I'm going to start a juice and protein shake diet
Having a pre workout workout drink then getting to the gym and it's fucking shut fuck the world
I drank too much last night & ate two tamales once I got home... Off to the gym I gooo 
"Check that, got to get off my lazy rear and workout. Water, power cleans and Hampton vs. Old Dominion. #Ballin"
"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @itzwikipedia: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @healtyfoodmania: Before your event or workout, fill an empty water bottle with protein powder. After your event, add water & shake vigo..."
"Never been happier to see chocolate milk in the fridge. It's replenishing after a workout, right? What about after last night? Either way.."
Another litre of water to nail then its pre workout starbucks time!
Like @CrowieAlexander I'm drinking chocolate milk for post workout goodness
Getting my protein fix with @JambaJuicePH's protein berry workout drink after a tiring leg day... http://instagram.com/p/sURwlKQAry/
"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
I need a juice cleanse and maybe a liver transplant after this week
"After you wash your #face, mix 1 tablespoon apple cider vinegar with 2 cups water as a finishing rinse to cleanse and tighten your #skin."
30 August 2014  Hungover hike with my love. And Andy. Drank last night and got drunk. Somehow. Woke up at the buttcrack of dawn to drive down to OC. Pho for breakfast and Pokinometry for lunch. Yayzies.
So stone cold gonna a drink a beer on sports center?
"Eat, Drink, Bike: Exploring Sonoma wine country http://buff.ly/1tNNbXN via @SandInSuitcase"
"Can someone pick me and my friends up from Tea Rex, we're too lazy to bike home "
"RT @mysteriousfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Then I drink my protein and take a 5 minute dump and tweet for a while post workout.
"RT @Factsionary: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @engrossingfacts: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @engrossingfacts: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
RT @Katiie002: #breakfast is eggs & broccoli with bbq sauce  & raspberry organic yog with kiwi ... Oh & almond milk  #fitfam http://t.co/...
"RT @FactsAboutLfe: Teenagers who smoke, drink alcohol and eat junk food are 4 to 6 times less happier than those who never smoked and drank..."
Is alcohol or diet coke worse for you?
"Lol if you tryin to lose weight, I don't think drinking a ""diet"" soda will help much"
Is there a diet you can be on and still drink all the beer you want? Asking for a friend.
"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @FactsWikipedia: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Americans are fat bc they'd rather drink beer & watch the game than go play sports themselves
"Our recycling always consists of 4 trash bins full of milk cartons, protein powders, beer cans, and alcohol bottles. Garbage men love us "
@ericboogaard yea especially since I need to go running tomorrow. And I should have done my juice cleanse this weekend but idgaf anymore lol
RT @PreacherPerfect: Is there a diet you can be on and still drink all the beer you want? Asking for a friend.
Diet soda worse than regular soda. Both are terrible.... http://fb.me/1yCn24rlF
RT @conner_lorenz: Coffee has been my pre work out recently
Half a beer and I am feeling buzzed.  Shows how much I drink on this diet hahaha
RT @ShanaRose21: *Buys all the wine in the store*   *Rides my bike over to see @karlainvt *  *Drinks until we pass out*  REPEAT!
RT @ShanaRose21: *Buys all the wine in the store*   *Rides my bike over to see @karlainvt *  *Drinks until we pass out*  REPEAT!
"Free 2015 bike demos, group rides, clinics, chainless downhill race, BBQ, beer tent, live music from West Water... http://fb.me/2QOSBJnRm"
"@mappingmegan: Eat, Drink, Bike: Exploring Sonoma wine country http://goo.gl/Qynr6Q via @SandInSuitcase I like sandinyoursuitcase!"
"After work, Workout, Drink the weekend away. #SolidPlan"
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
RT @ghweldon: Drank so much last night that this morning's workout sweat was high in tannins with notes of citrus and green apple and a cri...
RT @ghweldon: Drank so much last night that this morning's workout sweat was high in tannins with notes of citrus and green apple and a cri...
"RT @DiscoveryFact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"@CaydennToh oh, well (except for today) i usually abstain from sugar. Whether post or pre workout. Only in small amounts when takin coffee."
"I had no type of appetite today, I had a protein shake after workout, an apple and like 15 bottles of water lol"
"Before your event or workout, fill an empty water bottle with protein powder. After your event, add water & shake vigorously for 30 seconds."
RT @life_cheates: Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.
Ah sports. A reason to drink beer before noon.
That's why my face so fat soda lol
Mixing alcohol with diet soda will get you more drunk than mixing it with regular soda.
#3: Water & Wood Novelty Bike Bicycle Keychain Keyring Bottle Wine Beer Opener Tool: Water & Wood Novelty Bike... http://amzn.to/1tNWmZ6
"Eat, Drink, Bike: Exploring Sonoma wine country http://www.sandinmysuitcase.com/exploring-sonoma-wine-country/ via @SandInSuitcase"
"RT @itzwikipedia: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Just finished my Total Body Shred #workout ! #FeelinGood And here's what i am having as a post workout drink http://t.co/QBMJPKOUvs
